"x","y","zone"
0.104526453599101,1.59258471608673,1
0.944329270704184,1.65296249736313,3
0.792076763039222,1.5094768893228,3
0.736049006055109,1.93786880372549,3
0.877482976578176,1.71710521702921,3
0.266667940088082,1.57777995228796,1
0.114845323882764,1.56941386589183,1
0.965710090111243,1.50516222508851,3
0.331123311859556,1.69116082593897,2
0.13763872207026,1.55359560169735,1
0.132778178401059,1.78277185237553,1
0.549296345396433,1.73474846946561,2
0.102562452044804,1.85384056476723,1
0.122465665509226,1.41680659022845,1
0.817558669613209,1.95750160993701,3
0.0600153732358012,1.94319983629862,1
0.751879737140844,1.3994113281011,3
0.663904025534866,1.77907137948191,2
0.397780855017481,1.97029497607166,2
0.661520415733103,1.74565356805959,2
0.888422964182682,1.72259729018163,3
0.508488250942901,1.77074155742149,2
0.986091456030263,1.41282510233281,3
0.425269434259972,1.99383308872918,2
0.806058701474685,1.51896317485209,3
0.221308144208742,1.61767199981568,1
0.201557668461464,1.86912924018468,1
0.154986584181897,1.44154644245679,1
0.50561876214575,1.6849446244418,2
0.518991591692902,1.99029786360806,2
0.81296102988068,1.82494889524312,3
0.276759873584379,1.44174740703052,1
0.280785083489027,1.4917449141296,1
0.0492368868284393,1.62237259130719,1
0.978037320290459,1.78105166568929,3
0.0121712489263155,1.54790458454316,1
0.515017630585935,1.84717333399456,2
0.321197344005341,1.46416878863004,1
0.666646686658496,1.66669916679241,2
0.0589018904895056,1.70862023644802,1
0.728970993597759,1.61767592123899,3
0.616500534596853,1.96371640139145,2
0.0731435347057413,1.84567633114024,1
0.372380572424736,1.71560045893989,2
0.0850966042745859,1.49610327852675,1
0.148634134955937,1.87765782475469,1
0.909462553444318,1.84245552108335,3
0.97842533849529,1.4784092131778,3
0.28386273018783,1.75356266040286,1
0.477491861565504,1.48256823465739,2
0.0121082696958911,1.54194333473385,1
0.556237764279358,1.70101674342037,2
0.262395680111367,1.51262657081251,1
0.905269661712227,1.71770002708643,3
