"Mantel","Cohen","Samp_Size","Spread","Area","Scenario","Class","MC"
0.3256315,0.408057672425295,10000,NA,NA,"All","1",1
0.070015411774886,0.107965362861585,1321,"Low","Small","Allsmall","1",1
0.169834497542607,0.252931326074556,3850,"Medium","Medium","Allmedium","1",1
0.272351120436939,0.364741964321341,7565,"High","Large","Alllarge","1",1
0.0299934151970893,0.181058176398875,200,"Low","Small","Spread","1",1
0.189953949666586,0.372853339571343,200,"Medium","Medium","Spread","1",1
0.324563916779903,0.463950467249946,200,"High","Large","Spread","1",1
0.0893686857317087,0.0797716762604852,200,"Low","Small","Area","1",1
0.166626146399621,0.207092306269051,200,"Medium","Medium","Area","1",1
0.287928791859312,0.288899809017317,200,"High","Large","Area","1",1
0.3256315,0.40777728753349,10000,NA,NA,"All","10",1
0.070015411774886,0.107129698661762,1321,"Low","Small","Allsmall","10",1
0.169834497542607,0.251642276175079,3850,"Medium","Medium","Allmedium","10",1
0.272351120436939,0.36453353061607,7565,"High","Large","Alllarge","10",1
0.0633296703187766,0.0562660293666194,200,"Low","Small","Spread","10",1
0.218871384096935,0.316610062975627,200,"Medium","Medium","Spread","10",1
0.364429238816233,0.428603589489119,200,"High","Large","Spread","10",1
0.0261085981632951,0.0534303713296776,200,"Low","Small","Area","10",1
0.173228890130075,0.32193626694249,200,"Medium","Medium","Area","10",1
0.264226096527528,0.32574398555236,200,"High","Large","Area","10",1
0.3256315,0.407627367043304,10000,NA,NA,"All","100",1
0.070015411774886,0.108134894558751,1321,"Low","Small","Allsmall","100",1
0.169834497542607,0.252180192271434,3850,"Medium","Medium","Allmedium","100",1
0.272351120436939,0.36492358378152,7565,"High","Large","Alllarge","100",1
0.0390842408586659,0.0384808051312743,200,"Low","Small","Spread","100",1
0.225706042926179,0.325574588008623,200,"Medium","Medium","Spread","100",1
0.334072018598536,0.45806188798471,200,"High","Large","Spread","100",1
0.0188750321594017,0.174177744437958,200,"Low","Small","Area","100",1
0.2741587410276,0.277214750636904,200,"Medium","Medium","Area","100",1
0.305273242702679,0.378136704692235,200,"High","Large","Area","100",1
0.3256315,0.40792807934178,10000,NA,NA,"All","11",1
0.070015411774886,0.108231287346869,1321,"Low","Small","Allsmall","11",1
0.169834497542607,0.252863094326743,3850,"Medium","Medium","Allmedium","11",1
0.272351120436939,0.365008923633145,7565,"High","Large","Alllarge","11",1
0.110542403845063,0.099229612779822,200,"Low","Small","Spread","11",1
0.297259084746936,0.369559013048774,200,"Medium","Medium","Spread","11",1
0.365098947478213,0.500302593036573,200,"High","Large","Spread","11",1
0.0858389300347237,0.129256029429959,200,"Low","Small","Area","11",1
0.146679738503598,0.392666743988264,200,"Medium","Medium","Area","11",1
0.246479630060016,0.356097500074775,200,"High","Large","Area","11",1
0.3256315,0.407895256181719,10000,NA,NA,"All","12",1
0.070015411774886,0.107443598505708,1321,"Low","Small","Allsmall","12",1
0.169834497542607,0.252318857789698,3850,"Medium","Medium","Allmedium","12",1
0.272351120436939,0.364835401334533,7565,"High","Large","Alllarge","12",1
0.0564072359306844,0.0748331261123213,200,"Low","Small","Spread","12",1
0.256271346476111,0.424867439790632,200,"Medium","Medium","Spread","12",1
0.374588611533077,0.511916945298544,200,"High","Large","Spread","12",1
0.0762283195717722,0.104995056726726,200,"Low","Small","Area","12",1
0.13642973267206,0.309084050047118,200,"Medium","Medium","Area","12",1
0.256098179999755,0.346424798571815,200,"High","Large","Area","12",1
0.3256315,0.407786304070943,10000,NA,NA,"All","13",1
0.070015411774886,0.106964933223576,1321,"Low","Small","Allsmall","13",1
0.169834497542607,0.25169287597949,3850,"Medium","Medium","Allmedium","13",1
0.272351120436939,0.364634791071816,7565,"High","Large","Alllarge","13",1
0.0147793807321184,0.124814502178662,200,"Low","Small","Spread","13",1
