"Mantel","Cohen","Samp_Size","Spread","Area","Scenario","MC"
0.740235245,0.770043985829302,10000,NA,NA,"All",1
0.7711543903702,0.807550559393208,727,NA,"Small","Allsmall",1
0.776826602538324,0.811011626933422,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791387391848597,5989,NA,"Large","Alllarge",1
0.782760988475557,0.817259080526218,200,NA,"Small","Area",1
0.793357595847525,0.758404934597776,200,NA,"Medium","Area",1
0.704829798191847,0.798706949287405,200,NA,"Large","Area",1
0.740235245,0.769546519018888,10000,NA,NA,"All",1
0.7711543903702,0.805447765592263,727,NA,"Small","Allsmall",1
0.776826602538324,0.810566082559944,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791447410479528,5989,NA,"Large","Alllarge",1
0.794374860802511,0.802877488414814,200,NA,"Small","Area",1
0.838935150440949,0.80064674108878,200,NA,"Medium","Area",1
0.81441043963221,0.808445630510236,200,NA,"Large","Area",1
0.740235245,0.769807422468196,10000,NA,NA,"All",1
0.7711543903702,0.806786681807534,727,NA,"Small","Allsmall",1
0.776826602538324,0.810571223886016,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791261782328693,5989,NA,"Large","Alllarge",1
0.732897500338667,0.804285779965083,200,NA,"Small","Area",1
0.807291616980484,0.813854502940654,200,NA,"Medium","Area",1
0.818706180117963,0.791648159831132,200,NA,"Large","Area",1
0.740235245,0.769876658600347,10000,NA,NA,"All",1
0.7711543903702,0.807842787450762,727,NA,"Small","Allsmall",1
0.776826602538324,0.811389045592244,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791268269655673,5989,NA,"Large","Alllarge",1
0.797235851279397,0.780350916236391,200,NA,"Small","Area",1
0.702588689528163,0.845125977009176,200,NA,"Medium","Area",1
0.730047556672996,0.742639679572736,200,NA,"Large","Area",1
0.740235245,0.769930026453693,10000,NA,NA,"All",1
0.7711543903702,0.80654962238265,727,NA,"Small","Allsmall",1
0.776826602538324,0.811146632378655,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791605249525711,5989,NA,"Large","Alllarge",1
0.759918627421229,0.787824900581443,200,NA,"Small","Area",1
0.766118359695333,0.709352013163341,200,NA,"Medium","Area",1
0.686380581577227,0.731262538787596,200,NA,"Large","Area",1
0.740235245,0.769808288080761,10000,NA,NA,"All",1
0.7711543903702,0.807457479614449,727,NA,"Small","Allsmall",1
0.776826602538324,0.810893014833092,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791236385667904,5989,NA,"Large","Alllarge",1
0.761996407455815,0.723640844174267,200,NA,"Small","Area",1
0.793394325685863,0.833383458698738,200,NA,"Medium","Area",1
0.799408069020461,0.783456310550275,200,NA,"Large","Area",1
0.740235245,0.769587755750494,10000,NA,NA,"All",1
0.7711543903702,0.806729855321723,727,NA,"Small","Allsmall",1
0.776826602538324,0.810867288665246,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.79147407830838,5989,NA,"Large","Alllarge",1
0.747205141932223,0.766703747038466,200,NA,"Small","Area",1
0.792725956233848,0.829486877007843,200,NA,"Medium","Area",1
0.685307234802067,0.729652175827865,200,NA,"Large","Area",1
0.740235245,0.769600900190755,10000,NA,NA,"All",1
0.7711543903702,0.806521709066569,727,NA,"Small","Allsmall",1
0.776826602538324,0.810802780162922,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791272495717637,5989,NA,"Large","Alllarge",1
0.798458966668025,0.816736235855449,200,NA,"Small","Area",1
0.795530191704396,0.761929420266169,200,NA,"Medium","Area",1
0.764844209570259,0.784177551269652,200,NA,"Large","Area",1
0.740235245,0.769703077095969,10000,NA,NA,"All",1
0.7711543903702,0.806591118614447,727,NA,"Small","Allsmall",1
0.776826602538324,0.810795442169345,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791524928540712,5989,NA,"Large","Alllarge",1
0.774891556424578,0.790845937936899,200,NA,"Small","Area",1
0.774422137023411,0.779934963865454,200,NA,"Medium","Area",1
0.800948214820403,0.790944115401962,200,NA,"Large","Area",1
0.740235245,0.769861595710567,10000,NA,NA,"All",1
0.7711543903702,0.8081949770975,727,NA,"Small","Allsmall",1
0.776826602538324,0.810431862605731,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791048021122403,5989,NA,"Large","Alllarge",1
0.79122865308473,0.818557947920309,200,NA,"Small","Area",1
0.818623864332538,0.8122686649229,200,NA,"Medium","Area",1
0.736913347867092,0.876111605122773,200,NA,"Large","Area",1
0.740235245,0.769992395965333,10000,NA,NA,"All",1
0.7711543903702,0.808102881020071,727,NA,"Small","Allsmall",1
0.776826602538324,0.811034550132636,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791431235189792,5989,NA,"Large","Alllarge",1
0.785164614385905,0.824011507567057,200,NA,"Small","Area",1
0.750692565215616,0.782320501970472,200,NA,"Medium","Area",1
0.779775359640677,0.815261659125235,200,NA,"Large","Area",1
0.740235245,0.769761510276066,10000,NA,NA,"All",1
0.7711543903702,0.807202197097812,727,NA,"Small","Allsmall",1
0.776826602538324,0.811183187928548,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791408138025876,5989,NA,"Large","Alllarge",1
0.765725265187703,0.755553310496286,200,NA,"Small","Area",1
0.718685568342115,0.809334204546751,200,NA,"Medium","Area",1
0.677372787699403,0.820799320445045,200,NA,"Large","Area",1
0.740235245,0.769531914955258,10000,NA,NA,"All",1
0.7711543903702,0.806960121769562,727,NA,"Small","Allsmall",1
0.776826602538324,0.810110087087044,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791392109115122,5989,NA,"Large","Alllarge",1
0.752556826849325,0.82604509062193,200,NA,"Small","Area",1
0.759391529199741,0.843309428919813,200,NA,"Medium","Area",1
0.751192236518057,0.759715566708975,200,NA,"Large","Area",1
0.740235245,0.769648874947442,10000,NA,NA,"All",1
0.7711543903702,0.80590304055065,727,NA,"Small","Allsmall",1
0.776826602538324,0.810945049823161,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791461593988836,5989,NA,"Large","Alllarge",1
0.748566082199163,0.816485976215888,200,NA,"Small","Area",1
0.825943590536022,0.800084780540608,200,NA,"Medium","Area",1
0.705993570275998,0.799235222019412,200,NA,"Large","Area",1
0.740235245,0.769632237732894,10000,NA,NA,"All",1
0.7711543903702,0.807857400519826,727,NA,"Small","Allsmall",1
0.776826602538324,0.811287930911852,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791407074987599,5989,NA,"Large","Alllarge",1
0.77931826178282,0.831498785555043,200,NA,"Small","Area",1
0.771369674694407,0.822181423979685,200,NA,"Medium","Area",1
0.773006006738951,0.766601270023711,200,NA,"Large","Area",1
0.740235245,0.769510950743673,10000,NA,NA,"All",1
0.7711543903702,0.807058669109641,727,NA,"Small","Allsmall",1
0.776826602538324,0.810659739161349,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791072451202336,5989,NA,"Large","Alllarge",1
0.809279461529337,0.86424204812894,200,NA,"Small","Area",1
0.757675806930037,0.844187741615924,200,NA,"Medium","Area",1
0.804600672590809,0.759404336956424,200,NA,"Large","Area",1
0.740235245,0.770052615042866,10000,NA,NA,"All",1
0.7711543903702,0.80742316399513,727,NA,"Small","Allsmall",1
0.776826602538324,0.810629639035039,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791344327526976,5989,NA,"Large","Alllarge",1
0.758012096186772,0.800793026234002,200,NA,"Small","Area",1
0.748646675335464,0.854983464376447,200,NA,"Medium","Area",1
0.743192950642749,0.811699560375529,200,NA,"Large","Area",1
0.740235245,0.769927225593412,10000,NA,NA,"All",1
0.7711543903702,0.808115144346599,727,NA,"Small","Allsmall",1
0.776826602538324,0.810750312384256,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791501587597636,5989,NA,"Large","Alllarge",1
0.748907481458888,0.788373679139889,200,NA,"Small","Area",1
0.749322732339948,0.844761948712586,200,NA,"Medium","Area",1
0.710376827220668,0.784598492450484,200,NA,"Large","Area",1
0.740235245,0.770117465477475,10000,NA,NA,"All",1
0.7711543903702,0.806915307094191,727,NA,"Small","Allsmall",1
0.776826602538324,0.810221496698299,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791588864031149,5989,NA,"Large","Alllarge",1
0.71390750330235,0.803544394481258,200,NA,"Small","Area",1
0.717632197427863,0.78952765957154,200,NA,"Medium","Area",1
0.787751603962078,0.831038943245448,200,NA,"Large","Area",1
0.740235245,0.769969587058869,10000,NA,NA,"All",1
0.7711543903702,0.805943995011309,727,NA,"Small","Allsmall",1
0.776826602538324,0.810779272113997,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791021733417991,5989,NA,"Large","Alllarge",1
0.789508677134701,0.859543757145547,200,NA,"Small","Area",1
0.747127180024582,0.81217534464365,200,NA,"Medium","Area",1
0.670704551530638,0.811297299181373,200,NA,"Large","Area",1
0.740235245,0.769817488230522,10000,NA,NA,"All",1
0.7711543903702,0.80602581533042,727,NA,"Small","Allsmall",1
0.776826602538324,0.810772498436987,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791666688877429,5989,NA,"Large","Alllarge",1
0.791038088326577,0.827684224736357,200,NA,"Small","Area",1
0.793930741431516,0.765073781368776,200,NA,"Medium","Area",1
0.684536259891884,0.783509545601741,200,NA,"Large","Area",1
0.740235245,0.769716236974306,10000,NA,NA,"All",1
0.7711543903702,0.807102455575124,727,NA,"Small","Allsmall",1
0.776826602538324,0.81077562341341,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.790891570516223,5989,NA,"Large","Alllarge",1
0.764330237241277,0.837439326174106,200,NA,"Small","Area",1
0.752189288369845,0.797867594150113,200,NA,"Medium","Area",1
0.724824750962519,0.854642468725145,200,NA,"Large","Area",1
0.740235245,0.769683088292043,10000,NA,NA,"All",1
0.7711543903702,0.807435211598862,727,NA,"Small","Allsmall",1
0.776826602538324,0.810621467109141,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791395598818354,5989,NA,"Large","Alllarge",1
0.772374961160963,0.742867288335421,200,NA,"Small","Area",1
0.781988600276314,0.815879247809945,200,NA,"Medium","Area",1
0.836821275326169,0.812569544611779,200,NA,"Large","Area",1
0.740235245,0.769867353680998,10000,NA,NA,"All",1
0.7711543903702,0.807367599469631,727,NA,"Small","Allsmall",1
0.776826602538324,0.810928312135929,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791335607325234,5989,NA,"Large","Alllarge",1
0.722713079489638,0.765258124683296,200,NA,"Small","Area",1
0.71676133240351,0.915993301955285,200,NA,"Medium","Area",1
0.705621360033709,0.858031950073055,200,NA,"Large","Area",1
0.740235245,0.769510565605065,10000,NA,NA,"All",1
0.7711543903702,0.806450270310988,727,NA,"Small","Allsmall",1
0.776826602538324,0.810831793759858,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791280366796537,5989,NA,"Large","Alllarge",1
0.738881516077214,0.860244250396336,200,NA,"Small","Area",1
0.791550663985765,0.851691048220427,200,NA,"Medium","Area",1
0.670424410840784,0.739925013450619,200,NA,"Large","Area",1
0.740235245,0.769730194477456,10000,NA,NA,"All",1
0.7711543903702,0.807465245136777,727,NA,"Small","Allsmall",1
0.776826602538324,0.810828364335711,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791263795508064,5989,NA,"Large","Alllarge",1
0.750444691857448,0.773712525208511,200,NA,"Small","Area",1
0.824371220032987,0.818142738364413,200,NA,"Medium","Area",1
0.704499955697028,0.836897402474889,200,NA,"Large","Area",1
0.740235245,0.769934208959211,10000,NA,NA,"All",1
0.7711543903702,0.807957551027352,727,NA,"Small","Allsmall",1
0.776826602538324,0.810339710145461,2874,NA,"Medium","Allmedium",1
0.75809230651373,0.791340900638286,5989,NA,"Large","Alllarge",1
0.727965729718086,0.858885184413595,200,NA,"Small","Area",1
0.715457507452271,0.808961414676054,200,NA,"Medium","Area",1
