"lon","lat","zone"
0.928807546252998,0.503658405889978,2
0.945878232683226,0.554000070701455,2
0.163490634327992,0.214915871091758,3
0.229948853304231,0.441695809184901,1
0.177140583359455,0.641323004768403,1
0.181069213150334,0.494996913677227,1
0.68447236189848,0.592975014965924,2
0.21378005251981,0.166821489502824,3
0.86340453128069,0.53185877544077,2
0.129975015503341,0.17854581374103,3
0.269906204647492,0.627778939507201,1
0.867424567836324,0.591821917368317,2
0.820124454382471,0.0771407231362826,4
0.795932578113621,0.502888351916865,2
0.291214101961763,0.191433339596174,3
0.0117827630589062,0.137900263028951,3
0.772320267432173,0.141678139413474,4
0.808837134413632,0.0559301410691147,4
0.140786996996817,0.151804013417887,3
0.142055744862472,0.530987389772983,1
0.123524004426755,0.592053345625542,1
0.100814908619875,0.197855465357235,3
0.0541703493068322,0.606429389157327,1
0.024299649938258,0.201842801633607,3
0.729561049890104,0.612903919079997,2
0.711351058318859,0.213107820144907,4
0.951065838567164,0.111320253034763,4
0.316301884603918,0.648072358428785,1
0.15958846936055,0.0368757783266394,3
0.715705164385539,0.138040562547995,4
0.311313699938417,0.115493397453858,3
0.769720112024037,0.510836173493146,2
0.912211393993027,0.482178900742745,2
0.695265347288671,0.145678775155351,4
0.910770516295941,0.45403236973905,2
0.229171714704519,0.614922024170484,1
0.713780642338886,0.603532383024224,2
0.945364544319371,0.627227526011573,2
0.270241498594662,0.58222281758432,1
0.844451770449312,0.168827132131884,4
0.145215357403231,0.588173274846157,1
0.897309023271447,0.471997608918568,2
0.0693271996088701,0.0896524901407433,3
0.863270972270428,0.538512398936667,2
0.254872251256581,0.180829853854313,3
0.667641576956583,0.110495031993631,4
0.0723029677456059,0.567385136062072,1
0.0919514661468512,0.55377312655894,1
0.0426593614865811,0.622028255286015,1
0.286242106179849,0.613482580148445,1
0.713020660236476,0.0196407000493332,4
0.730113039827485,0.110706345632407,4
0.985811929441297,0.126795235962947,4
0.755166889797676,0.636940355258045,2
0.136436091419366,0.629895765110713,1
